FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201505,11,0,28854,581296,"I","05/11/2015 00:00:00",,"","Vehicle/Towed Trailer",999999
201507,22,0,29155,594668,"I","07/22/2015 00:00:00",50,"M","Other",201507
201505,9,0,28868,581686,"D","05/09/2015 00:00:00",20,"M","In Water",999999
201504,25,0,28727,574301,"I","04/25/2015 00:00:00",77,"M","In Water",201504
201505,25,0,28904,582240,"D","05/25/2015 00:00:00",23,"M","In Water",999999
201505,23,0,28989,581620,"D","05/23/2015 00:00:00",42,"M","Vehicle/Towed Trailer",201505
201505,24,0,31543,581656,"D","05/24/2015 00:00:00",18,"F","Vehicle/Towed Trailer",201505
201505,24,0,28991,581658,"D","05/24/2015 00:00:00",6,"M","Permanent Home",201505
201505,24,0,28992,581658,"D","05/24/2015 00:00:00",34,"F","Permanent Home",201505
201505,12,0,28944,583293,"D","05/12/2015 00:00:00",25,"M","In Water",999999
201505,23,0,28945,583296,"D","05/23/2015 00:00:00",20,"M","In Water",999999
201505,24,0,28993,581658,"D","05/24/2015 00:00:00",42,"M","Permanent Home",201505
201505,24,0,28994,581658,"D","05/24/2015 00:00:00",43,"F","Permanent Home",201505
201505,24,0,28995,581658,"D","05/24/2015 00:00:00",71,"F","Permanent Home",201505
201505,24,0,28996,581658,"D","05/24/2015 00:00:00",73,"M","Permanent Home",201505
201505,24,0,28998,581658,"D","05/24/2015 00:00:00",4,"F","Permanent Home",201505
201507,13,0,29191,583602,"D","07/13/2015 00:00:00",53,"M","Heavy Equipment/Construction",999999
201506,27,0,28960,583774,"I","06/27/2015 00:00:00",4,"F","Permanent Structure",999999
201506,27,0,28961,583774,"I","06/27/2015 00:00:00",29,"F","Permanent Structure",999999
201507,13,0,29220,584092,"D","07/13/2015 00:00:00",34,"M","In Water",999999
201507,13,0,29219,584092,"D","07/13/2015 00:00:00",74,"F","Mobile/Trailer Home",999999
201507,13,0,29221,584092,"D","07/13/2015 00:00:00",22,"M","Mobile/Trailer Home",999999
201507,13,0,29222,584092,"D","07/13/2015 00:00:00",56,"M","Vehicle/Towed Trailer",999999
201506,23,0,29001,584159,"I","06/23/2015 00:00:00",79,"M","Vehicle/Towed Trailer",999999
201507,24,0,29002,584620,"D","07/24/2015 00:00:00",58,"M","In Water",999999
201507,13,0,29199,584656,"D","07/13/2015 00:00:00",78,"F","Outside/Open Areas",999999
201506,21,0,29004,584996,"I","06/21/2015 00:00:00",2,"F","Vehicle/Towed Trailer",999999
201507,14,0,29193,585032,"D","07/14/2015 00:00:00",67,"M","Vehicle/Towed Trailer",999999
201506,12,0,29007,585096,"D","06/12/2015 00:00:00",31,"M","Mobile/Trailer Home",999999
201508,4,0,29323,585097,"D","08/04/2015 00:00:00",1,"F","Outside/Open Areas",999999
201507,30,0,29333,585274,"D","07/30/2015 00:00:00",38,"M","Outside/Open Areas",999999
201505,24,0,28999,581658,"D","05/24/2015 00:00:00",6,"M","Permanent Home",201505
201508,1,0,29013,585583,"D","08/01/2015 00:00:00",37,"M","Vehicle/Towed Trailer",999999
201506,17,0,29016,585616,"D","06/17/2015 00:00:00",2,"M","In Water",999999
201506,18,0,29015,585618,"D","06/18/2015 00:00:00",80,"F","Vehicle/Towed Trailer",999999
201507,14,0,29031,585781,"D","07/14/2015 00:00:00",,"M","Vehicle/Towed Trailer",999999
201506,17,0,29062,586732,"D","06/17/2015 00:00:00",11,"M","Outside/Open Areas",999999
201505,24,0,29000,581658,"D","05/24/2015 00:00:00",74,"M","Permanent Home",201505
201508,3,0,29020,586739,"D","08/03/2015 00:00:00",15,"M","Outside/Open Areas",999999
201507,25,0,29023,586743,"D","07/25/2015 00:00:00",22,"M","In Water",999999
201507,25,0,29024,586743,"I","07/25/2015 00:00:00",21,"M","In Water",999999
201503,14,0,29027,586896,"D","03/14/2015 00:00:00",67,"M","Outside/Open Areas",999999
201505,24,0,28997,581658,"D","05/24/2015 00:00:00",29,"M","Vehicle/Towed Trailer",201505
201507,28,0,29043,587357,"D","07/28/2015 00:00:00",61,"F","Vehicle/Towed Trailer",999999
201508,15,0,29032,588094,"I","08/15/2015 00:00:00",79,"M","Permanent Home",999999
201506,20,0,29067,588223,"D","06/20/2015 00:00:00",61,"M","Mobile/Trailer Home",999999
201506,11,0,29047,588313,"D","06/11/2015 00:00:00",25,"M","Outside/Open Areas",999999
