FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201706,30,0,33428,700794,I,6/30/17 0:00,,F,Permanent Home,201706
201706,20,0,33580,702637,D,6/20/17 0:00,,M,Mobile/Trailer Home,201706
201706,17,0,33579,702637,D,6/17/17 0:00,,M,Under Tree,201706
201706,6,0,33512,707166,D,6/6/17 0:00,56,F,Outside/Open Areas,201706
201706,3,0,33513,707167,D,6/3/17 0:00,39,M,Outside/Open Areas,201706
201706,6,0,33514,707167,I,6/6/17 0:00,62,M,Outside/Open Areas,201706
201706,6,0,33515,707167,I,6/6/17 0:00,49,M,Outside/Open Areas,201706
201706,6,0,33516,707167,D,6/6/17 0:00,40,M,Outside/Open Areas,201706
201706,9,0,33517,707167,I,6/9/17 0:00,76,M,Outside/Open Areas,201706
201706,16,0,33518,707169,D,6/16/17 0:00,55,M,Outside/Open Areas,201706
201706,16,0,33519,707169,D,6/16/17 0:00,55,F,Permanent Structure,201706
201706,20,0,33527,707173,D,6/20/17 0:00,42,M,Unknown,201706
201706,20,0,33528,707173,D,6/20/17 0:00,41,M,Unknown,201706
201706,17,0,33520,707173,D,6/17/17 0:00,34,M,Outside/Open Areas,201706
201706,18,0,33521,707173,I,6/18/17 0:00,52,M,Outside/Open Areas,201706
201706,20,0,33526,707173,I,6/20/17 0:00,57,M,Outside/Open Areas,201706
201706,22,0,33529,707173,D,6/22/17 0:00,79,M,Outside/Open Areas,201706
201706,25,0,33535,707173,D,6/25/17 0:00,49,M,Outside/Open Areas,201706
201706,28,0,33537,707173,D,6/28/17 0:00,37,M,Outside/Open Areas,201706
201706,19,0,33522,707173,D,6/19/17 0:00,68,M,Permanent Home,201706
201706,19,0,33523,707173,D,6/19/17 0:00,36,F,Permanent Home,201706
201706,19,0,33524,707173,D,6/19/17 0:00,69,F,Permanent Home,201706
201706,19,0,33525,707173,I,6/19/17 0:00,77,M,Permanent Home,201706
201706,23,0,33530,707173,D,6/23/17 0:00,69,F,Permanent Home,201706
201706,23,0,33531,707173,D,6/23/17 0:00,73,F,Permanent Home,201706
201706,24,0,33532,707173,D,6/24/17 0:00,52,M,Permanent Home,201706
201706,24,0,33533,707173,D,6/24/17 0:00,73,M,Permanent Home,201706
201706,24,0,33534,707173,D,6/24/17 0:00,61,F,Permanent Home,201706
