"","agegroup","Astronomical Low Tide","Avalanche","Blizzard","Coastal Flood","Cold/Wind Chill","Debris Flow","Dense Fog","Dust Devil","Dust Storm","Excessive Heat","Extreme Cold/Wind Chill","Flash Flood","Flood","Freezing Fog","Frost/Freeze","Hail","Heat","Heavy Rain","Heavy Snow","High Surf","High Wind","Ice Storm","Lake-Effect Snow","Lightning","Marine High Wind","Marine Strong Wind","Marine Thunderstorm Wind","Rip Current","Sneakerwave","Strong Wind","Thunderstorm Wind","Tornado","Tropical Storm","Wildfire","Winter Storm","Winter Weather","Hurricane (Typhoon)","Marine Dense Fog"
"1","0-10",0,0,0,0,2,4,0,0,0,6,0,32,4,0,0,0,14,3,1,2,0,0,0,3,0,2,1,6,1,5,6,9,0,0,9,7,1,0
"2","11-20",0,2,1,0,2,3,2,0,0,7,0,23,13,0,0,0,8,6,1,6,4,0,0,10,0,2,3,47,2,6,15,5,0,0,4,18,0,0
"3","21-30",1,14,0,0,13,6,6,1,0,6,3,46,10,2,0,0,9,7,1,9,3,4,1,20,0,3,1,28,1,8,15,10,0,0,7,33,0,1
"4","31-40",0,15,0,0,6,2,3,0,0,11,3,44,9,0,0,1,6,2,1,4,3,2,0,23,0,4,0,27,1,8,9,21,0,1,7,18,0,1
"5","41-50",0,7,0,0,16,7,5,0,2,11,1,33,13,0,0,0,13,7,5,9,2,2,1,18,1,2,2,11,0,7,21,18,0,1,6,28,1,0
"6","51-60",0,1,12,1,20,12,6,0,0,21,3,47,24,1,1,2,23,3,5,5,2,0,6,10,0,5,1,24,1,8,17,25,2,1,14,27,1,1
"7","61-70",0,5,1,0,23,11,1,0,0,28,4,25,18,0,0,1,27,1,3,3,8,3,4,7,0,3,1,7,2,3,16,17,1,8,16,7,1,1
"8","70+",0,0,3,0,38,4,0,0,1,44,9,35,19,0,0,0,31,3,4,1,7,1,6,7,0,2,2,6,1,1,8,24,4,7,20,14,1,0
