FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201602,24,0,30075,619440,D,2/24/16 0:00,78,M,Outside/Open Areas,201602
201603,9,0,30181,626789,D,3/9/16 0:00,56,M,Outside/Open Areas,201603
201603,9,0,30182,626791,I,3/9/16 0:00,28,F,Vehicle/Towed Trailer,201603
201603,8,0,30183,626794,I,3/8/16 0:00,22,M,Vehicle/Towed Trailer,201603
201605,29,0,30551,627093,D,5/29/16 0:00,20,M,In Water,201605
201606,12,0,30552,627093,D,6/12/16 0:00,53,M,In Water,201605
201605,24,0,30257,628559,D,5/24/16 0:00,,,Vehicle/Towed Trailer,201605
201605,9,0,30371,633058,D,5/9/16 0:00,78,M,Permanent Home,201605
201605,9,0,30373,633089,D,5/9/16 0:00,76,M,Permanent Home,201605
201605,28,0,30707,644220,D,5/28/16 0:00,21,M,In Water,201605
201601,17,0,30036,608183,I,1/17/16 0:00,,,Unknown,201601
201601,19,0,29640,608721,D,1/19/16 0:00,30,M,Outside/Open Areas,201601
201601,24,0,29638,608730,D,1/24/16 0:00,46,M,Outside/Open Areas,201601
201601,24,0,29639,608730,D,1/24/16 0:00,36,F,Outside/Open Areas,201601
201601,24,0,29669,608906,D,1/24/16 0:00,36,M,Outside/Open Areas,201601
201601,1,0,30033,608907,D,1/1/16 0:00,65,M,Outside/Open Areas,201601
201602,4,0,29714,608934,I,2/4/16 0:00,67,M,Outside/Open Areas,201601
201601,24,0,29749,609333,I,1/24/16 0:00,66,M,Outside/Open Areas,201601
201601,24,0,29746,609334,I,1/24/16 0:00,,M,Outside/Open Areas,201601
201601,24,0,29747,609340,I,1/24/16 0:00,70,M,Permanent Home,201601
201601,24,0,29748,609340,I,1/24/16 0:00,76,M,Permanent Home,201601
201601,17,0,29701,609389,D,1/17/16 0:00,58,M,Mobile/Trailer Home,201601
201601,17,0,29702,609389,D,1/17/16 0:00,51,F,Mobile/Trailer Home,201601
201601,23,0,29764,610536,I,1/23/16 0:00,54,M,Outside/Open Areas,201601
201601,26,0,29763,610536,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer,201601
201601,23,0,29766,610537,I,1/23/16 0:00,54,M,Outside/Open Areas,201601
201601,26,0,29765,610537,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer,201601
201601,23,0,29768,610538,I,1/23/16 0:00,54,M,Outside/Open Areas,201601
201601,26,0,29767,610538,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer,201601
201601,23,0,29772,610540,I,1/23/16 0:00,54,M,Outside/Open Areas,201601
201602,25,0,31536,614284,D,2/25/16 0:00,28,M,In Water,201602
201607,16,0,31537,642919,I,7/16/16 0:00,46,M,In Water,201607
201607,16,0,31538,642919,I,7/16/16 0:00,6,F,In Water,201607
201606,2,0,31568,646454,D,6/2/16 0:00,36,M,In Water,201606
201606,3,0,31569,646433,D,6/3/16 0:00,46,M,Vehicle/Towed Trailer,201606
201601,26,0,29771,610540,I,1/26/16 0:00,55,M,Vehicle/Towed Trailer,201601
201601,30,0,29782,611127,I,1/30/16 0:00,23,M,In Water,201601
201601,19,0,29783,611146,I,1/19/16 0:00,31,M,Boating,201601
201601,19,0,29784,611146,I,1/19/16 0:00,37,M,Boating,201601
201601,19,0,29785,611146,I,1/19/16 0:00,52,M,Boating,201601
201601,20,0,29964,611231,I,1/20/16 0:00,22,M,Vehicle/Towed Trailer,201601
201601,26,0,29825,611879,I,1/26/16 0:00,46,M,Boating,201601
201601,15,0,29828,611941,D,1/15/16 0:00,98,F,Outside/Open Areas,201601
201601,14,0,29842,612214,D,1/14/16 0:00,57,F,Permanent Structure,201601
201601,23,0,29918,613720,D,1/23/16 0:00,36,M,Vehicle/Towed Trailer,201601
201601,1,0,29927,613990,I,1/1/16 0:00,27,M,In Water,201601
201601,11,0,29959,614361,D,1/11/16 0:00,43,F,Outside/Open Areas,201601
201601,8,0,29956,614452,D,1/8/16 0:00,50,M,Outside/Open Areas,201601
201601,17,0,29957,614453,D,1/17/16 0:00,21,F,Outside/Open Areas,201601
201601,4,0,30024,614456,D,1/4/16 0:00,39,M,Outside/Open Areas,201601
201601,14,0,30032,614502,D,1/14/16 0:00,72,M,In Water,201601
201601,20,0,29967,614678,I,1/20/16 0:00,55,F,Vehicle/Towed Trailer,201601
201601,20,0,30000,615221,I,1/20/16 0:00,,,Unknown,201601
201601,20,0,29998,615222,I,1/20/16 0:00,44,M,Vehicle/Towed Trailer,201601
201601,20,0,29997,615223,I,1/20/16 0:00,60,F,Vehicle/Towed Trailer,201601
201601,31,0,30015,615345,D,1/31/16 0:00,48,F,Vehicle/Towed Trailer,201601
201601,14,0,29982,615772,D,1/14/16 0:00,29,M,Outside/Open Areas,201601
201601,14,0,29990,616052,D,1/14/16 0:00,23,M,Outside/Open Areas,201601
201601,2,0,29994,616169,D,1/2/16 0:00,35,M,Outside/Open Areas,201601
201601,16,0,29995,616171,D,1/16/16 0:00,25,M,Outside/Open Areas,201601
201601,11,0,30001,616387,D,1/11/16 0:00,53,F,Outside/Open Areas,201601
201601,23,0,30019,616498,D,1/23/16 0:00,80,F,Outside/Open Areas,201601
201601,18,0,30010,616502,D,1/18/16 0:00,50,M,Outside/Open Areas,201601
201601,18,0,30011,616502,D,1/18/16 0:00,57,M,Outside/Open Areas,201601
201601,11,0,30004,616503,D,1/11/16 0:00,70,F,Outside/Open Areas,201601
201601,11,0,30008,616508,D,1/11/16 0:00,60,M,Outside/Open Areas,201601
201601,11,0,30009,616508,D,1/11/16 0:00,90,F,Outside/Open Areas,201601
201601,22,0,30021,616510,I,1/22/16 0:00,69,M,Outside/Open Areas,201601
201601,22,0,30018,616602,I,1/22/16 0:00,39,M,Vehicle/Towed Trailer,201601
201601,21,0,30025,616658,D,1/21/16 0:00,49,M,Outside/Open Areas,201601
201601,31,0,30026,616663,D,1/31/16 0:00,50,M,Outside/Open Areas,201601
201601,24,0,30037,617356,I,1/24/16 0:00,56,M,Vehicle/Towed Trailer,201601
201601,23,0,30039,617358,I,1/23/16 0:00,54,M,Outside/Open Areas,201601
201601,24,0,30038,617358,I,1/24/16 0:00,55,M,Vehicle/Towed Trailer,201601
201601,23,0,30042,617367,I,1/23/16 0:00,18,F,Outside/Open Areas,201601
201601,23,0,30043,617367,I,1/23/16 0:00,88,M,Outside/Open Areas,201601
201601,3,0,30045,617533,D,1/3/16 0:00,20,M,In Water,201601
201609,29,0,31541,659699,D,9/29/16 0:00,30,M,Outside/Open Areas,201609
201601,13,0,29866,606471,D,1/13/16 0:00,77,M,Permanent Home,201512
201601,8,0,29865,606471,D,1/8/16 0:00,35,M,Vehicle/Towed Trailer,201512
201604,30,0,30242,631037,D,4/30/16 0:00,30,M,Vehicle/Towed Trailer,201604
201604,30,0,30236,631382,D,4/30/16 0:00,9,F,Outside/Open Areas,201604
201604,30,0,30237,631382,D,4/30/16 0:00,8,M,Outside/Open Areas,201604
201604,30,0,30238,631382,D,4/30/16 0:00,7,M,Outside/Open Areas,201604
201604,30,0,30239,631382,D,4/30/16 0:00,6,F,Outside/Open Areas,201604
201604,30,0,30240,631382,D,4/30/16 0:00,64,F,Outside/Open Areas,201604
201604,30,0,30241,631383,D,4/30/16 0:00,30,M,Outside/Open Areas,201604
201603,18,0,30047,617774,D,3/18/16 0:00,28,F,Outside/Open Areas,201603
