"","agegroup","Flash Flood","Flood","Heavy Rain","Lightning","Marine Strong Wind","Thunderstorm Wind","Tornado"
"1","0-10",4,0,1,1,1,0,0
"2","11-20",10,20,0,3,1,1,0
"3","21-30",54,4,2,8,1,1,0
"4","31-40",27,4,0,4,1,0,0
"5","41-50",17,21,0,6,0,6,0
"6","51-60",51,49,0,0,2,3,8
"7","61-70",14,28,0,3,2,3,0
"8","70+",18,25,0,1,0,0,2
